ALGORITMI,5,10,25,50,100,200,500,1000,2000,5000,10000
BubbleSort,3E-06,1E-06,4E-06,8E-06,2.6E-05,0.000155,0.000828,0.003407,0.012257,0.083953,0.424592
QuickSort,1E-06,1E-06,5E-06,7E-06,1.5E-05,2.9E-05,0.000163,0.000446,0.000918,0.002414,0.005128
HeapSort,0,3E-06,0,1E-06,0,1E-06,2E-06,1E-06,2E-06,3E-06,0
